order_id,order_date,customer_id,segment,region,product,quantity,unit_price,revenue
1001,2024-01-01,C0065,Home Office,West,Gizmo,3,8.56,25.68
1002,2024-01-01,C0069,Consumer,Central,Widget,4,18.82,75.28
1003,2024-01-01,C0060,Consumer,East,Widget,2,22.35,44.7
1004,2024-01-02,C0097,Home Office,East,Doohickey,3,123.65,370.95
1005,2024-01-02,C0077,Corporate,East,Doohickey,4,130.74,522.96
1006,2024-01-04,C0077,Consumer,South,Gadget,5,40.75,203.75
1007,2024-01-05,C0047,Corporate,South,Widget,4,18.75,75.0
1008,2024-01-06,C0109,Home Office,South,Gizmo,4,10.64,42.56
1009,2024-01-07,C0011,Consumer,Central,Gizmo,5,8.77,43.85
1010,2024-01-07,C0054,Corporate,Central,Doohickey,2,125.17,250.34
1011,2024-01-08,C0005,Corporate,West,Doohickey,4,95.68,382.72
1012,2024-01-08,C0101,Home Office,West,Widget,6,23.58,141.48
1013,2024-01-09,C0064,Consumer,West,Gadget,6,43.64,261.84
1014,2024-01-09,C0101,Corporate,West,Gadget,3,51.17,153.51
1015,2024-01-10,C0114,Corporate,East,Gizmo,5,8.39,41.95
1016,2024-01-10,C0083,Home Office,West,Gadget,5,43.95,219.75
1017,2024-01-12,C0090,Consumer,East,Gizmo,5,8.68,43.4
1018,2024-01-14,C0120,Consumer,West,Gadget,5,50.59,252.95
1019,2024-01-15,C0113,Corporate,West,Widget,1,21.23,21.23
1020,2024-01-16,C0088,Corporate,West,Doohickey,5,119.19,595.95
1021,2024-01-16,C0002,Consumer,South,Gizmo,5,9.07,45.35
1022,2024-01-17,C0079,Corporate,West,Widget,4,24.97,99.88
1023,2024-01-17,C0085,Consumer,South,Gizmo,4,8.98,35.92
1024,2024-01-21,C0017,Home Office,East,Gizmo,5,10.52,52.6
1025,2024-01-22,C0042,Corporate,East,Widget,3,24.44,73.32
1026,2024-01-24,C0103,Consumer,West,Gadget,2,40.17,80.34
1027,2024-01-24,C0015,Consumer,East,Gadget,3,56.36,169.08
1028,2024-01-27,C0062,Consumer,South,Doohickey,5,99.31,496.55
1029,2024-01-28,C0075,Home Office,Central,Doohickey,2,102.8,205.6
1030,2024-01-30,C0048,Consumer,West,Gadget,5,58.15,290.75
1031,2024-02-01,C0036,Corporate,Central,Doohickey,2,138.83,277.66
1032,2024-02-01,C0072,Home Office,East,Doohickey,5,107.88,539.4
1033,2024-02-01,C0062,Consumer,South,Widget,2,21.97,43.94
1034,2024-02-01,C0019,Home Office,West,Doohickey,5,98.85,494.25
1035,2024-02-01,C0091,Consumer,Central,Widget,6,22.0,132.0
1036,2024-02-02,C0088,Corporate,West,Widget,3,18.52,55.56
1037,2024-02-02,C0086,Home Office,West,Widget,4,22.72,90.88
1038,2024-02-03,C0115,Consumer,Central,Gizmo,3,11.19,33.57
1039,2024-02-04,C0007,Home Office,West,Gadget,4,48.51,194.04
1040,2024-02-04,C0045,Home Office,West,Widget,4,23.86,95.44
1041,2024-02-04,C0115,Consumer,Central,Doohickey,5,138.81,694.05
1042,2024-02-05,C0008,Home Office,Central,Gadget,4,55.91,223.64
1043,2024-02-05,C0108,Consumer,Central,Gizmo,5,13.09,65.45
1044,2024-02-06,C0014,Corporate,East,Gizmo,3,10.82,32.46
1045,2024-02-08,C0080,Consumer,East,Gizmo,1,9.48,9.48
1046,2024-02-08,C0017,Home Office,East,Gadget,3,40.79,122.37
1047,2024-02-09,C0026,Consumer,West,Widget,4,21.65,86.6
1048,2024-02-12,C0114,Consumer,West,Gizmo,5,11.86,59.3
1049,2024-02-13,C0104,Corporate,Central,Widget,3,24.01,72.03
1050,2024-02-14,C0098,Corporate,South,Gizmo,3,12.16,36.48
1051,2024-02-14,C0032,Corporate,East,Widget,3,24.04,72.12
1052,2024-02-19,C0041,Corporate,East,Gadget,4,47.79,191.16
1053,2024-02-19,C0097,Consumer,West,Doohickey,5,133.35,666.75
1054,2024-02-20,C0049,Consumer,West,Gadget,3,56.16,168.48
1055,2024-02-20,C0013,Consumer,West,Widget,6,20.64,123.84
1056,2024-02-21,C0075,Consumer,South,Doohickey,3,106.22,318.66
1057,2024-02-23,C0061,Corporate,South,Widget,3,19.92,59.76
1058,2024-02-23,C0114,Consumer,Central,Doohickey,6,109.24,655.44
1059,2024-02-23,C0013,Consumer,East,Widget,5,21.88,109.4
1060,2024-02-24,C0060,Home Office,East,Gadget,5,51.13,255.65
1061,2024-02-28,C0024,Corporate,Central,Widget,2,18.53,37.06
1062,2024-02-29,C0093,Corporate,West,Gizmo,2,10.16,20.32
1063,2024-03-01,C0001,Consumer,West,Doohickey,4,125.76,503.04
1064,2024-03-03,C0006,Consumer,West,Gadget,4,45.59,182.36
1065,2024-03-03,C0039,Consumer,Central,Gadget,1,56.09,56.09
1066,2024-03-04,C0063,Corporate,Central,Doohickey,1,109.79,109.79
1067,2024-03-05,C0086,Consumer,West,Gadget,4,54.18,216.72
1068,2024-03-05,C0086,Consumer,East,Widget,6,20.71,124.26
1069,2024-03-06,C0048,Corporate,West,Doohickey,5,119.03,595.15
1070,2024-03-06,C0040,Consumer,Central,Gadget,6,56.68,340.08
1071,2024-03-09,C0120,Consumer,East,Doohickey,4,127.42,509.68
1072,2024-03-11,C0077,Corporate,East,Doohickey,6,117.27,703.62
1073,2024-03-13,C0072,Corporate,Central,Gizmo,1,11.59,11.59
1074,2024-03-15,C0011,Consumer,West,Gadget,5,50.4,252.0
1075,2024-03-17,C0079,Home Office,East,Gizmo,3,13.99,41.97
1076,2024-03-17,C0076,Consumer,East,Widget,5,21.95,109.75
1077,2024-03-18,C0108,Corporate,West,Widget,3,22.85,68.55
1078,2024-03-19,C0098,Consumer,West,Gadget,1,57.13,57.13
1079,2024-03-19,C0070,Corporate,Central,Gadget,3,44.55,133.65
1080,2024-03-19,C0077,Consumer,East,Widget,5,20.48,102.4
1081,2024-03-22,C0009,Corporate,South,Gadget,5,46.17,230.85
1082,2024-03-22,C0024,Consumer,Central,Widget,5,22.2,111.0
1083,2024-03-22,C0043,Home Office,East,Widget,3,23.53,70.59
1084,2024-03-25,C0045,Corporate,Central,Doohickey,6,98.5,591.0
1085,2024-03-25,C0054,Home Office,South,Gadget,5,48.92,244.6
1086,2024-03-25,C0028,Corporate,Central,Gadget,2,57.87,115.74
1087,2024-03-26,C0059,Consumer,Central,Doohickey,6,133.2,799.2
1088,2024-03-27,C0028,Consumer,South,Doohickey,5,108.41,542.05
1089,2024-03-29,C0094,Home Office,West,Gizmo,1,13.46,13.46
1090,2024-03-29,C0100,Home Office,East,Widget,6,23.63,141.78
1091,2024-03-29,C0091,Corporate,West,Gadget,3,47.09,141.27
1092,2024-03-29,C0048,Corporate,Central,Widget,4,18.91,75.64
1093,2024-03-30,C0033,Consumer,East,Doohickey,2,114.44,228.88
1094,2024-03-31,C0087,Corporate,East,Gadget,2,50.27,100.54
1095,2024-03-31,C0082,Home Office,East,Widget,3,19.96,59.88
1096,2024-03-31,C0116,Corporate,West,Gadget,7,55.82,390.74
1097,2024-04-03,C0115,Home Office,West,Doohickey,2,124.21,248.42
1098,2024-04-04,C0052,Home Office,West,Gadget,6,50.63,303.78
1099,2024-04-04,C0051,Corporate,West,Gizmo,7,12.66,88.62
1100,2024-04-05,C0022,Corporate,South,Doohickey,2,104.33,208.66
1101,2024-04-06,C0078,Consumer,Central,Widget,4,22.72,90.88
1102,2024-04-07,C0022,Consumer,South,Widget,5,18.24,91.2
1103,2024-04-07,C0092,Consumer,South,Gadget,4,44.84,179.36
1104,2024-04-08,C0082,Corporate,South,Widget,7,22.92,160.44
1105,2024-04-09,C0076,Consumer,Central,Doohickey,1,104.42,104.42
1106,2024-04-09,C0004,Consumer,West,Doohickey,5,113.27,566.35
1107,2024-04-10,C0039,Corporate,Central,Doohickey,3,118.08,354.24
